# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalTimeSpentOnMappingUs,1705909149209000000,1705909209249000000,2193
FilePageCache.capacityInBytes,1705909149209000000,1705909209249000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1705909149209000000,1705909209249000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1705909149209000000,1705909209249000000,118
FilePageCache.pageFastCacheHits,1705909149209000000,1705909209249000000,43515
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1705909149209000000,1705909209249000000,504029184
MappedFileStorage.storages,1705909149209000000,1705909209249000000,17
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705909149209000000,1705909209249000000,1048576
FilePageCache.pageLoads,1705909149209000000,1705909209249000000,487
FilePageCacheLockFree.totalPagesAllocated,1705909149209000000,1705909209249000000,83
FilePageCacheLockFree.totalPagesWritten,1705909149209000000,1705909209249000000,4
FilePageCacheLockFree.nativeBytesInUse,1705909149209000000,1705909209249000000,679936
FilePageCacheLockFree.totalPagesReadMs,1705909149209000000,1705909209249000000,6
FilePageCacheLockFree.totalPageAllocationsWaited,1705909149209000000,1705909209249000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1705909149209000000,1705909209249000000,0
FilePageCache.pageHits,1705909149209000000,1705909209249000000,10115
FilePageCacheLockFree.totalBytesRequested,1705909149209000000,1705909209249000000,9216000
FilePageCacheLockFree.totalHeapBytesAllocated,1705909149209000000,1705909209249000000,0
StreamlinedBlobStorage.recordsRelocated,1705909149209000000,1705909209249000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1705909149209000000,1705909209249000000,13307906
FilePageCacheLockFree.heapBytesInUse,1705909149209000000,1705909209249000000,0
DirectByteBufferAllocator.disposed,1705909149209000000,1705909209249000000,0
StorageLockContext.competingThreads.max,1705909149209000000,1705909209249000000,0
FilePageCache.totalPageLoadsUs,1705909149209000000,1705909209249000000,753724
StorageLockContext.competingThreads.90P,1705909149209000000,1705909209249000000,0
MappedFileStorage.totalPagesMapped,1705909149209000000,1705909209249000000,18
StreamlinedBlobStorage.recordsDeleted,1705909149209000000,1705909209249000000,112
FilePageCacheLockFree.housekeeperTurnsSkipped,1705909149209000000,1705909209249000000,24846
FilePageCache.totalPageDisposalsUs,1705909149209000000,1705909209249000000,3003
FilePageCache.uncachedFileAccess,1705909149209000000,1705909209249000000,389
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1705909149209000000,1705909209249000000,3497194
FilePageCacheLockFree.totalPagesHandedOver,1705909149209000000,1705909209249000000,0
StorageLockContext.competingThreads.avg,1705909149209000000,1705909209249000000,0.0
DirectByteBufferAllocator.misses,1705909149209000000,1705909209249000000,567
FilePageCache.maxRegisteredFiles,1705909149209000000,1705909209249000000,908
DirectByteBufferAllocator.hits,1705909149209000000,1705909209249000000,137
FilePageCacheLockFree.totalPagesReclaimed,1705909149209000000,1705909209249000000,0
FilePageCache.disposedBuffers,1705909149209000000,1705909209249000000,138
FileChannelInterruptsRetryer.totalRetriedAttempts,1705909149209000000,1705909209249000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1705909149209000000,1705909209249000000,22
DirectByteBufferAllocator.reclaimed,1705909149209000000,1705909209249000000,138
FilePageCacheLockFree.totalHeapBytesReclaimed,1705909149209000000,1705909209249000000,0
MappedFileStorage.totalBytesMapped,1705909149209000000,1705909209249000000,144965632
StreamlinedBlobStorage.recordsAllocated,1705909149209000000,1705909209249000000,187692
FilePageCacheLockFree.totalBytesWritten,1705909149209000000,1705909209249000000,6179
FilePageCacheLockFree.totalNativeBytesAllocated,1705909149209000000,1705909209249000000,679936
FilePageCacheLockFree.totalBytesRead,1705909149209000000,1705909209249000000,666731
FilePageCache.maxCacheSizeInBytes,1705909149209000000,1705909209249000000,503349248
FilePageCacheLockFree.housekeeperTimeSpentMs,1705909149209000000,1705909209249000000,185
FilePageCacheLockFree.totalPagesWriteMs,1705909149209000000,1705909209249000000,0
FilePageCacheLockFree.totalPagesRequested,1705909149209000000,1705909209249000000,1125
FilePageCache.pageLoadsAboveSizeThreshold,1705909149209000000,1705909209249000000,134
JVM.totalCpuTimeMs,1705909149209000000,1705909209249000000,42781
JVM.totalBytesAllocated,1705909149209000000,1705909209249000000,10495923304
JVM.usedNativeBytes,1705909149209000000,1705909209249000000,407568512
JVM.GC.collectionTimesMs,1705909149209000000,1705909209249000000,591
JVM.GC.collections,1705909149209000000,1705909209249000000,71
OS.loadAverage,1705909149209000000,1705909209249000000,-1.0
JVM.maxHeapBytes,1705909149209000000,1705909209249000000,2147483648
JVM.usedHeapBytes,1705909149209000000,1705909209249000000,1212475072
JVM.threadCount,1705909149209000000,1705909209249000000,159
JVM.maxNativeBytes,1705909149209000000,1705909209249000000,-1
